ingredient_name,url,irritant_free,teen_safe,fragrance_free,paraben_free,gluten_free,soy_free,nut_free,dairy_free,dye_free,silicon_free,sulphate_free,latex_free,sesame_free,citrus_free,seafood_free,vegan,vegetarian,paleo,unscented,scent_free
"1,5-DIHYDROXYNAPHTHALENE",https://www.skinsafeproducts.com/ingredients/1-5-dihydroxynaphthalene,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,5-Naphthalenediol",https://www.skinsafeproducts.com/ingredients/1-5-naphthalenediol,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,5-pentanediol",https://www.skinsafeproducts.com/ingredients/1-5-pentanediol,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,6-Hexanediamine",https://www.skinsafeproducts.com/ingredients/1-6-hexanediamine,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,6-Hexanediol diacrylate",https://www.skinsafeproducts.com/ingredients/1-6-hexanediol-diacrylate,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1,6-Nonadien-3-OL,3,7-dimethyl-acetate",https://www.skinsafeproducts.com/ingredients/1-6-nonadien-3-ol-3-7-dimethyl-acetate,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1-(12,3,4,5,6,7,8- octahydro-2,3,8,8- tetramethyl-2-naphthalenyl",https://www.skinsafeproducts.com/ingredients/1-12-3-4-5-6-7-8-octahydro-2-3-8-8-tetramethyl-2-naphthalenyl,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
1-(2-Ter-Butyl cyclohexyloxy)-2-butanol (Amber Core),https://www.skinsafeproducts.com/ingredients/1-2-ter-butyl-cyclohexyloxy-2-butanol-amber-core,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
1-(3-Methyl-2-Benzofuranyl)Ethanone,https://www.skinsafeproducts.com/ingredients/1-3-methyl-2-benzofuranyl-ethanone,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1-(4-isopropylphenyl)-3-phenyl-1,3-propanedione (Eusolex 8020)",https://www.skinsafeproducts.com/ingredients/1-4-isopropylphenyl-3-phenyl-1-3-propanedione-eusolex-8020,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1-3, 1-6 Beta Glucan",https://www.skinsafeproducts.com/ingredients/1-3-1-6-beta-glucan,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
1-3-Bis (N-2-(Hydroxyethyl) Palmitoylamino)-2-Hydroxy Propane,https://www.skinsafeproducts.com/ingredients/1-3-bis-n-2-hydroxyethyl-palmitoylamino-2-hydroxy-propane,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
1-Acetoxy-2-Methylnaphthalene,https://www.skinsafeproducts.com/ingredients/1-acetoxy-2-methylnaphthalene,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
1-Aminopropan-2-Ol,https://www.skinsafeproducts.com/ingredients/1-aminopropan-2-ol,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
1-Bromopropane,https://www.skinsafeproducts.com/ingredients/1-bromopropane,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1-Decanaminium, N,N-dimethyl-N-octyl-, chloride",https://www.skinsafeproducts.com/ingredients/1-decanaminium-n-n-dimethyl-n-octyl-chloride,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
1-Decene Homopolymer,https://www.skinsafeproducts.com/ingredients/1-decene-homopolymer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
1-HYDROXYLCYCLOHEXYL PHENYL KETONE,https://www.skinsafeproducts.com/ingredients/1-hydroxylcyclohexyl-phenyl-ketone,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
1-Hexadecanol,https://www.skinsafeproducts.com/ingredients/1-hexadecanol,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1-Hexyl 4,5-Diamino Pyrazole Sulfate",https://www.skinsafeproducts.com/ingredients/1-hexyl-4-5-diamino-pyrazole-sulfate,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
"1-Hydroxyethyl 4,5-Diamino Pyrazole Sulfate",https://www.skinsafeproducts.com/ingredients/1-hydroxyethyl-4-5-diamino-pyrazole-sulfate,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
1-Methyl Styrene/Vinyltoluene Copolymer,https://www.skinsafeproducts.com/ingredients/1-methyl-styrene-vinyltoluene-copolymer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
